iter	Passed	Remaining
0	1	168
1	3	164
2	5	165
3	6	153
4	8	152
5	9	152
6	11	151
7	13	153
8	14	149
9	16	147
10	18	146
11	19	145
12	21	143
13	23	141
14	24	140
15	26	139
16	27	135
17	29	132
18	30	130
19	32	129
20	33	127
21	35	127
22	37	126
23	39	123
24	40	121
25	42	120
26	44	118
27	45	116
28	47	115
29	48	113
30	49	110
31	51	108
32	52	107
33	54	105
34	56	104
35	57	103
36	59	101
37	61	100
38	63	99
39	65	98
40	67	97
41	68	94
42	70	92
43	71	91
44	73	89
45	74	87
46	76	86
47	78	85
48	80	83
49	81	81
50	82	78
51	83	77
52	84	75
53	86	73
54	87	71
55	89	70
56	91	69
57	93	67
58	95	66
59	97	64
60	99	63
61	100	61
62	101	59
63	102	57
64	103	55
65	105	54
66	106	52
67	108	50
68	109	49
69	111	47
70	113	46
71	115	44
72	116	43
73	118	41
74	120	40
75	121	38
76	123	36
77	125	35
78	126	33
79	129	32
80	130	30
81	132	29
82	134	27
83	136	25
84	138	24
85	139	22
86	141	21
87	143	19
88	144	17
89	146	16
90	147	14
91	149	12
92	150	11
93	151	9
94	153	8
95	154	6
96	155	4
97	157	3
98	158	1
99	159	0
