iter	Passed	Remaining
0	1	1369
1	2	1234
2	3	1210
3	4	1174
4	5	1181
5	6	1141
6	7	1122
7	8	1101
8	9	1087
9	11	1103
10	12	1134
11	13	1132
12	15	1139
13	16	1133
14	17	1121
15	18	1120
16	19	1115
17	20	1114
18	21	1107
19	22	1104
20	23	1106
21	25	1111
22	26	1114
23	27	1121
24	28	1118
25	29	1112
26	30	1104
27	31	1101
28	32	1097
29	33	1094
30	34	1085
31	35	1082
32	36	1075
33	37	1072
34	38	1067
35	40	1071
36	41	1069
37	42	1067
38	43	1068
39	44	1070
40	45	1068
41	46	1064
42	47	1059
43	48	1056
44	49	1054
45	50	1052
46	51	1051
47	52	1050
48	54	1049
49	55	1047
50	56	1044
51	57	1045
52	58	1045
53	59	1043
54	60	1042
55	61	1039
56	62	1040
57	64	1040
58	65	1038
59	66	1035
60	67	1033
61	68	1032
62	69	1030
63	70	1030
64	71	1031
65	72	1032
66	74	1037
67	75	1036
68	76	1035
69	77	1033
70	78	1032
71	79	1030
72	80	1027
73	82	1026
74	83	1024
75	84	1021
76	85	1021
77	86	1020
78	87	1018
79	88	1018
80	89	1018
81	90	1016
82	91	1008
83	92	1006
84	93	1003
85	94	1000
86	95	997
87	96	1005
88	98	1003
89	99	1001
90	100	1002
91	101	1002
92	102	1002
93	103	1001
94	104	999
95	105	996
96	106	993
97	107	990
98	108	988
99	109	986
100	110	984
101	111	983
102	112	983
103	113	981
104	115	982
105	116	982
106	117	979
107	118	979
108	119	978
109	120	975
110	121	972
111	122	970
112	123	967
113	124	965
114	125	962
115	125	960
116	126	956
117	127	953
118	128	950
119	129	948
120	130	946
121	131	944
122	132	943
123	133	941
124	134	938
125	135	936
126	135	932
127	136	930
128	137	928
129	138	926
130	139	923
131	140	921
132	141	919
133	142	918
134	143	916
135	143	914
136	144	912
137	146	912
138	146	910
139	147	908
140	148	906
141	149	902
142	150	900
143	151	898
144	152	896
145	153	895
146	154	894
147	155	892
148	156	891
149	157	891
150	158	890
151	159	889
152	160	887
153	161	886
154	162	885
155	163	885
156	164	884
157	165	883
158	166	882
159	167	880
160	168	877
161	169	876
162	170	875
163	171	874
164	172	873
165	173	872
166	174	870
167	175	869
168	176	868
169	177	867
170	178	865
171	179	865
172	181	865
173	182	864
174	183	864
175	184	863
176	185	861
177	186	860
178	187	858
179	188	857
180	189	856
181	190	855
182	191	854
183	192	854
